date,hour,price,cloud_cover,global_tilted_irradiance,precipitation,temperature_2m,wind_speed_10m
2024-05-12,12,14.96,85.88888888888889,785.2444444444444,0.9333333333333331,19.099999999999998,9.411111111111111
2024-05-12,13,15.0,82.88888888888889,725.7222222222222,0.4555555555555555,19.100000000000005,10.577777777777778
2024-05-12,14,19.56,74.88888888888889,616.4888888888888,0.6444444444444444,18.755555555555556,10.18888888888889
2024-05-12,15,87.45,80.88888888888889,586.2444444444445,0.09999999999999999,19.300000000000004,10.78888888888889
2024-05-12,16,128.36,82.55555555555556,456.9333333333333,0.05555555555555555,19.133333333333333,9.177777777777777
2024-05-12,17,156.49,92.88888888888889,305.4222222222222,0.2777777777777778,18.03333333333333,12.644444444444446
2024-05-12,18,184.83,90.66666666666667,135.06666666666666,0.1222222222222222,16.733333333333334,10.899999999999999
2024-05-12,19,179.82,87.44444444444444,50.08888888888889,0.09999999999999999,15.555555555555552,9.233333333333334
2024-05-12,20,311.25,78.77777777777777,5.133333333333334,0.36666666666666664,13.600000000000001,10.177777777777779
2024-05-12,21,181.99,61.44444444444444,0.0,0.47777777777777775,13.033333333333333,9.322222222222223
2024-05-12,22,153.24,66.0,0.0,0.18888888888888888,12.344444444444443,8.166666666666666
2024-05-12,23,165.99,72.0,0.0,0.2666666666666667,11.988888888888887,7.866666666666668
2024-05-13,0,164.97,67.55555555555556,0.0,0.2111111111111111,11.81111111111111,7.966666666666669
2024-05-13,1,146.45,66.44444444444444,0.0,0.16666666666666666,11.288888888888888,8.81111111111111
2024-05-13,2,114.81,55.333333333333336,0.0,0.3111111111111111,10.81111111111111,9.933333333333334
2024-05-13,3,115.28,65.0,0.0,1.1111111111111112,10.633333333333333,8.911111111111111
2024-05-13,4,148.19,68.77777777777777,0.0,0.23333333333333334,10.466666666666667,9.011111111111111
2024-05-13,5,176.89,68.11111111111111,0.0,0.2222222222222222,10.11111111111111,8.488888888888887
2024-05-13,6,226.86,58.44444444444444,16.111111111111107,0.18888888888888888,10.7,6.844444444444445
2024-05-13,7,207.73,44.111111111111114,82.22222222222223,0.1111111111111111,11.755555555555553,6.522222222222222
2024-05-13,8,152.34,54.111111111111114,226.13333333333333,0.13333333333333333,12.766666666666664,5.088888888888889
2024-05-13,9,142.19,52.333333333333336,405.26666666666665,0.1,13.888888888888891,5.377777777777777
2024-05-13,10,176.89,42.44444444444444,539.6111111111111,0.06666666666666667,14.755555555555556,5.988888888888888
2024-05-13,11,176.89,46.44444444444444,692.0444444444444,0.07777777777777778,15.600000000000001,5.711111111111111
