datetime,kwh,kwhDelta,timeDelta,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,kwhEstimate,kwhIdeal
2024-08-15T11:25:00.0,7356.85,1.8599999999996726,300000 milliseconds,karaisen,32.64999999999999,32.19166666666666,14.783333333333335,34.09416666666667,0.0,0,,0,0,14.916666666666668,5.816666666666667,186.91666666666669,1015.0750000000002,5.775000000000001,17.516666666666666,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.0089702021682094,2.181474971145884
2024-08-15T11:30:00.0,7358.71,1.8599999999996726,300000 milliseconds,karaisen,32.79999999999999,32.349999999999994,14.8,33.83500000000001,0.0,0,,0,0,15.100000000000001,5.800000000000001,209.5,1015.0500000000002,4.950000000000001,17.9,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.003858011216174,2.1661532529232566
2024-08-15T11:35:00.0,7360.57,1.8400000000001455,300000 milliseconds,karaisen,32.94999999999999,32.508333333333326,14.816666666666666,33.57583333333334,0.0,0,,0,0,15.283333333333335,5.783333333333334,232.08333333333334,1015.0250000000001,4.125000000000001,18.28333333333333,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9975381203862377,2.1496688406995172
2024-08-15T11:40:00.0,7362.41,1.8100000000004002,300000 milliseconds,karaisen,33.099999999999994,32.66666666666666,14.833333333333334,33.31666666666668,0.0,0,,0,0,15.466666666666669,5.7666666666666675,254.66666666666669,1015.0000000000001,3.3000000000000007,18.666666666666664,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9900065066661294,2.132032947478911
2024-08-15T11:45:00.0,7364.22,1.7899999999999636,300000 milliseconds,karaisen,33.25,32.82499999999999,14.850000000000001,33.057500000000005,0.0,0,,0,0,15.650000000000002,5.750000000000001,277.25,1014.9750000000001,2.4750000000000005,19.049999999999997,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9812600998085121,2.1132576037844983
2024-08-15T11:50:00.0,7366.01,1.7799999999997453,300000 milliseconds,karaisen,33.4,32.98333333333333,14.866666666666667,32.79833333333334,0.0,0,,0,0,15.833333333333334,5.733333333333334,299.8333333333333,1014.95,1.6500000000000004,19.43333333333333,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.971296818293823,2.093355677817061
2024-08-15T11:55:00.0,7367.79,1.7399999999997817,300000 milliseconds,karaisen,33.55,33.141666666666666,14.883333333333333,32.539166666666674,0.0,0,,0,0,16.016666666666666,5.716666666666667,322.41666666666663,1014.925,0.8250000000000002,19.816666666666663,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.9601155691363115,2.0723408568558774
2024-08-15T12:00:00.0,7369.53,1.7100000000000364,300000 milliseconds,karaisen,33.7,33.3,14.9,32.28,0.0,0,,0,0,16.2,5.7,345.0,1014.9,0.0,20.2,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.9477162869399287,2.050227670463083
2024-08-15T12:05:00.0,7371.24,1.680000000000291,300000 milliseconds,karaisen,33.825,33.43333333333333,14.891666666666667,32.04666666666667,0.0,0,,0,0,16.383333333333333,5.7250000000000005,341.4166666666667,1014.8583333333333,0.0,19.816666666666666,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.9256798997090012,2.027031473377896
2024-08-15T12:10:00.0,7372.92,1.6700000000000728,300000 milliseconds,karaisen,33.95,33.56666666666666,14.883333333333335,31.813333333333333,0.0,0,,0,0,16.566666666666666,5.750000000000001,337.83333333333337,1014.8166666666667,0.0,19.433333333333334,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.9026300332024688,2.002768456002599
2024-08-15T12:15:00.0,7374.59,1.639999999999418,300000 milliseconds,karaisen,34.075,33.699999999999996,14.875000000000002,31.58,0.0,0,,0,0,16.75,5.775,334.25000000000006,1014.7750000000001,0.0,19.05,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.8785828751076312,1.977455658008033
2024-08-15T12:20:00.0,7376.23,1.610000000000582,300000 milliseconds,karaisen,34.2,33.83333333333333,14.866666666666669,31.346666666666664,0.0,0,,0,0,16.933333333333334,5.800000000000001,330.66666666666674,1014.7333333333335,0.0,18.666666666666668,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.8535554015241118,1.9511109489727494
2024-08-15T12:25:00.0,7377.84,1.5599999999994907,300000 milliseconds,karaisen,34.325,33.96666666666666,14.858333333333336,31.11333333333333,0.0,0,,0,0,17.116666666666667,5.825000000000001,327.08333333333337,1014.6916666666668,0.0,18.283333333333335,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.8275654069522167,1.923753059949702
2024-08-15T12:30:00.0,7379.4,1.5300000000006548,300000 milliseconds,karaisen,34.45,34.099999999999994,14.850000000000003,30.879999999999995,0.0,0,,0,0,17.3,5.8500000000000005,323.50000000000006,1014.6500000000001,0.0,17.900000000000002,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.8006314823624308,1.8954015603815062
2024-08-15T12:35:00.0,7380.93,1.5099999999993088,300000 milliseconds,karaisen,34.575,34.23333333333333,14.841666666666669,30.64666666666666,0.0,0,,0,0,17.483333333333334,5.875,319.91666666666674,1014.6083333333333,0.0,17.51666666666667,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.7727730487762163,1.866076893448649
2024-08-15T12:40:00.0,7382.44,1.480000000000473,300000 milliseconds,karaisen,34.7,34.36666666666666,14.833333333333336,30.41333333333333,0.0,0,,0,0,17.666666666666668,5.9,316.33333333333337,1014.5666666666667,0.0,17.133333333333336,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.7440103350011387,1.8358003526327775
